,qnum,orig_label,question,prompt,response,total,dem,ind,rep
32,7,4D,Knowledge of Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,How much have you heard about the following criminal case?,Totals,100,100,99,100
33,8,4E,Knowledge of Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,How much have you heard about the following criminal case?,A lot,54,57,51,53
34,8,4E,Knowledge of Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,How much have you heard about the following criminal case?,A little,26,27,26,26
35,8,4E,Knowledge of Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,How much have you heard about the following criminal case?,Nothing at all,20,17,22,21
36,8,4E,Knowledge of Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,How much have you heard about the following criminal case?,Totals,100,101,99,100
37,9,4F,Knowledge of Criminal Trials — The Menendez brothers being charged with the murder of their parents,How much have you heard about the following criminal case?,A lot,53,55,49,57
38,9,4F,Knowledge of Criminal Trials — The Menendez brothers being charged with the murder of their parents,How much have you heard about the following criminal case?,A little,32,30,33,33
39,9,4F,Knowledge of Criminal Trials — The Menendez brothers being charged with the murder of their parents,How much have you heard about the following criminal case?,Nothing at all,14,15,17,11
40,9,4F,Knowledge of Criminal Trials — The Menendez brothers being charged with the murder of their parents,How much have you heard about the following criminal case?,Totals,99,100,99,101
41,10,4G,Knowledge of Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,How much have you heard about the following criminal case?,A lot,49,51,42,56
42,10,4G,Knowledge of Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,How much have you heard about the following criminal case?,A little,39,41,42,34
43,10,4G,Knowledge of Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,How much have you heard about the following criminal case?,Nothing at all,12,8,17,10
44,10,4G,Knowledge of Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,How much have you heard about the following criminal case?,Totals,100,100,101,100
45,11,4H,Knowledge of Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,How much have you heard about the following criminal case?,A lot,48,55,42,47
46,11,4H,Knowledge of Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,How much have you heard about the following criminal case?,A little,33,31,34,33
47,11,4H,Knowledge of Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,How much have you heard about the following criminal case?,Nothing at all,19,14,24,20
48,11,4H,Knowledge of Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,How much have you heard about the following criminal case?,Totals,100,100,100,100
49,12,4I,Knowledge of Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,How much have you heard about the following criminal case?,A lot,39,41,38,39
50,12,4I,Knowledge of Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,How much have you heard about the following criminal case?,A little,29,31,28,28
51,12,4I,Knowledge of Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,How much have you heard about the following criminal case?,Nothing at all,32,28,34,33
52,12,4I,Knowledge of Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,How much have you heard about the following criminal case?,Totals,100,100,100,100
53,13,4J,"Knowledge of Criminal Trials — Kyle Rittenhouse being charged with murder during unrest in Kenosha, Wisconsin",How much have you heard about the following criminal case?,A lot,38,40,34,39
54,13,4J,"Knowledge of Criminal Trials — Kyle Rittenhouse being charged with murder during unrest in Kenosha, Wisconsin",How much have you heard about the following criminal case?,A little,29,32,27,27
55,13,4J,"Knowledge of Criminal Trials — Kyle Rittenhouse being charged with murder during unrest in Kenosha, Wisconsin",How much have you heard about the following criminal case?,Nothing at all,34,28,39,34
56,13,4J,"Knowledge of Criminal Trials — Kyle Rittenhouse being charged with murder during unrest in Kenosha, Wisconsin",How much have you heard about the following criminal case?,Totals,101,100,100,100
57,14,4K,Knowledge of Criminal Trials — Julian Assange being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,A lot,37,41,37,33
58,14,4K,Knowledge of Criminal Trials — Julian Assange being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,A little,32,34,26,36
59,14,4K,Knowledge of Criminal Trials — Julian Assange being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,Nothing at all,31,25,36,31
60,14,4K,Knowledge of Criminal Trials — Julian Assange being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,Totals,100,100,99,100
61,15,4L,Knowledge of Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,How much have you heard about the following criminal case?,A lot,36,39,32,39
62,15,4L,Knowledge of Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,How much have you heard about the following criminal case?,A little,46,44,46,46
63,15,4L,Knowledge of Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,How much have you heard about the following criminal case?,Nothing at all,18,18,21,15
64,15,4L,Knowledge of Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,How much have you heard about the following criminal case?,Totals,100,101,99,100
65,16,4M,Knowledge of Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,How much have you heard about the following criminal case?,A lot,26,29,25,24
66,16,4M,Knowledge of Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,How much have you heard about the following criminal case?,A little,31,35,27,32
67,16,4M,Knowledge of Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,How much have you heard about the following criminal case?,Nothing at all,43,36,47,44
68,16,4M,Knowledge of Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,How much have you heard about the following criminal case?,Totals,100,100,99,100
69,17,4N,Knowledge of Criminal Trials — George Santos being charged with wire fraud and identity theft,How much have you heard about the following criminal case?,A lot,25,39,18,19
70,17,4N,Knowledge of Criminal Trials — George Santos being charged with wire fraud and identity theft,How much have you heard about the following criminal case?,A little,39,36,36,44
71,17,4N,Knowledge of Criminal Trials — George Santos being charged with wire fraud and identity theft,How much have you heard about the following criminal case?,Nothing at all,36,25,46,37
72,17,4N,Knowledge of Criminal Trials — George Santos being charged with wire fraud and identity theft,How much have you heard about the following criminal case?,Totals,100,100,100,100
73,18,4O,Knowledge of Criminal Trials — Chelsea Manning being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,A lot,24,24,23,26
74,18,4O,Knowledge of Criminal Trials — Chelsea Manning being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,A little,40,46,33,41
75,18,4O,Knowledge of Criminal Trials — Chelsea Manning being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,Nothing at all,36,30,43,33
76,18,4O,Knowledge of Criminal Trials — Chelsea Manning being charged with espionage for leaking classified documents,How much have you heard about the following criminal case?,Totals,100,100,99,100
77,19,4P,Knowledge of Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,How much have you heard about the following criminal case?,A lot,24,29,19,23
78,19,4P,Knowledge of Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,How much have you heard about the following criminal case?,A little,37,41,33,39
79,19,4P,Knowledge of Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,How much have you heard about the following criminal case?,Nothing at all,39,30,48,38
80,19,4P,Knowledge of Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,How much have you heard about the following criminal case?,Totals,100,100,100,100
81,20,4Q,Knowledge of Criminal Trials — Elizabeth Holmes being charged with defrauding investors,How much have you heard about the following criminal case?,A lot,22,30,20,16
82,20,4Q,Knowledge of Criminal Trials — Elizabeth Holmes being charged with defrauding investors,How much have you heard about the following criminal case?,A little,36,41,28,39
83,20,4Q,Knowledge of Criminal Trials — Elizabeth Holmes being charged with defrauding investors,How much have you heard about the following criminal case?,Nothing at all,42,29,52,45
84,20,4Q,Knowledge of Criminal Trials — Elizabeth Holmes being charged with defrauding investors,How much have you heard about the following criminal case?,Totals,100,100,100,100
85,21,4R,Knowledge of Criminal Trials — Paul Manafort being charged with tax evasion and bank fraud,How much have you heard about the following criminal case?,A lot,21,30,16,18
86,21,4R,Knowledge of Criminal Trials — Paul Manafort being charged with tax evasion and bank fraud,How much have you heard about the following criminal case?,A little,39,37,36,45
87,21,4R,Knowledge of Criminal Trials — Paul Manafort being charged with tax evasion and bank fraud,How much have you heard about the following criminal case?,Nothing at all,40,33,48,37
88,21,4R,Knowledge of Criminal Trials — Paul Manafort being charged with tax evasion and bank fraud,How much have you heard about the following criminal case?,Totals,100,100,100,100
89,22,4S,Knowledge of Criminal Trials — Charles Kushner being charged with tax evasion and witness tampering,How much have you heard about the following criminal case?,A lot,16,25,11,15
90,22,4S,Knowledge of Criminal Trials — Charles Kushner being charged with tax evasion and witness tampering,How much have you heard about the following criminal case?,A little,40,42,38,41
91,22,4S,Knowledge of Criminal Trials — Charles Kushner being charged with tax evasion and witness tampering,How much have you heard about the following criminal case?,Nothing at all,44,33,52,44
92,22,4S,Knowledge of Criminal Trials — Charles Kushner being charged with tax evasion and witness tampering,How much have you heard about the following criminal case?,Totals,100,100,101,100
93,23,4T,Knowledge of Criminal Trials — Dinesh D’Souza being charged with campaign finance fraud,How much have you heard about the following criminal case?,A lot,13,16,9,16
94,23,4T,Knowledge of Criminal Trials — Dinesh D’Souza being charged with campaign finance fraud,How much have you heard about the following criminal case?,A little,37,40,35,37
95,23,4T,Knowledge of Criminal Trials — Dinesh D’Souza being charged with campaign finance fraud,How much have you heard about the following criminal case?,Nothing at all,49,43,56,47
96,23,4T,Knowledge of Criminal Trials — Dinesh D’Souza being charged with campaign finance fraud,How much have you heard about the following criminal case?,Totals,99,99,100,100
97,24,5A,Guilty or Not Guilty - Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,7,15,3,5
98,24,5A,Guilty or Not Guilty - Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,68,57,68,78
99,24,5A,Guilty or Not Guilty - Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,13,20,12,7
100,24,5A,Guilty or Not Guilty - Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,12,8,17,10
101,24,5A,Guilty or Not Guilty - Criminal Trials — Hunter Biden being charged with tax evasion and unlawful possession of a firearm,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,100,100
102,25,5B,Guilty or Not Guilty - Criminal Trials — Bill Cosby being charged with sexual assault,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,8,6,7,10
103,25,5B,Guilty or Not Guilty - Criminal Trials — Bill Cosby being charged with sexual assault,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,68,71,67,67
104,25,5B,Guilty or Not Guilty - Criminal Trials — Bill Cosby being charged with sexual assault,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,15,14,14,16
105,25,5B,Guilty or Not Guilty - Criminal Trials — Bill Cosby being charged with sexual assault,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,10,9,12,7
106,25,5B,Guilty or Not Guilty - Criminal Trials — Bill Cosby being charged with sexual assault,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,101,100,100,100
107,26,5C,Guilty or Not Guilty - Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,3,5,3,2
108,26,5C,Guilty or Not Guilty - Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,68,69,65,69
109,26,5C,Guilty or Not Guilty - Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,9,9,9,8
110,26,5C,Guilty or Not Guilty - Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,20,17,22,21
111,26,5C,Guilty or Not Guilty - Criminal Trials — Harvey Weinstein being charged with rape and sexual assault of multiple women,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,99,100
112,27,5D,Guilty or Not Guilty - Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,7,9,7,5
113,27,5D,Guilty or Not Guilty - Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,67,66,68,68
114,27,5D,Guilty or Not Guilty - Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,16,17,13,17
115,27,5D,Guilty or Not Guilty - Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,10,8,12,10
116,27,5D,Guilty or Not Guilty - Criminal Trials — O.J. Simpson being charged with the murders of his ex-wife and her friend,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,100,100
117,28,5E,Guilty or Not Guilty - Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,4,4,4,5
118,28,5E,Guilty or Not Guilty - Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,67,73,65,65
119,28,5E,Guilty or Not Guilty - Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,9,9,8,10
120,28,5E,Guilty or Not Guilty - Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,19,14,24,20
121,28,5E,Guilty or Not Guilty - Criminal Trials — R. Kelly being charged with racketeering and sex trafficking,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,99,100,101,100
122,29,5F,Guilty or Not Guilty - Criminal Trials — The Menendez brothers being charged with the murder of their parents,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,9,8,8,12
123,29,5F,Guilty or Not Guilty - Criminal Trials — The Menendez brothers being charged with the murder of their parents,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,60,57,58,64
124,29,5F,Guilty or Not Guilty - Criminal Trials — The Menendez brothers being charged with the murder of their parents,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,16,19,17,13
125,29,5F,Guilty or Not Guilty - Criminal Trials — The Menendez brothers being charged with the murder of their parents,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,14,15,17,11
126,29,5F,Guilty or Not Guilty - Criminal Trials — The Menendez brothers being charged with the murder of their parents,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,99,99,100,100
127,30,5G,Guilty or Not Guilty - Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,3,3,2,4
128,30,5G,Guilty or Not Guilty - Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,56,58,55,55
129,30,5G,Guilty or Not Guilty - Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,9,11,8,8
130,30,5G,Guilty or Not Guilty - Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,32,28,35,33
131,30,5G,Guilty or Not Guilty - Criminal Trials — Ghislaine Maxwell being charged with sex trafficking and conspiracy,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,100,100
132,31,5H,Guilty or Not Guilty - Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,19,5,16,36
133,31,5H,Guilty or Not Guilty - Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,50,69,46,35
134,31,5H,Guilty or Not Guilty - Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,12,11,12,13
135,31,5H,Guilty or Not Guilty - Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,19,15,25,16
136,31,5H,Guilty or Not Guilty - Criminal Trials — Derek Chauvin being charged with the murder of George Floyd,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,99,100
137,32,5I,Guilty or Not Guilty - Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,28,6,25,51
138,32,5I,Guilty or Not Guilty - Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,49,84,46,20
139,32,5I,Guilty or Not Guilty - Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,13,5,15,21
140,32,5I,Guilty or Not Guilty - Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,10,6,14,8
141,32,5I,Guilty or Not Guilty - Criminal Trials — Donald Trump being charged with falsifying business records to cover up a hush money payment,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,101,100,100
142,33,5J,Guilty or Not Guilty - Criminal Trials — George Santos being charged with wire fraud and identity theft,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,4,5,3,6
143,33,5J,Guilty or Not Guilty - Criminal Trials — George Santos being charged with wire fraud and identity theft,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,43,60,34,37
144,33,5J,Guilty or Not Guilty - Criminal Trials — George Santos being charged with wire fraud and identity theft,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,16,11,17,20
145,33,5J,Guilty or Not Guilty - Criminal Trials — George Santos being charged with wire fraud and identity theft,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,36,25,46,37
146,33,5J,Guilty or Not Guilty - Criminal Trials — George Santos being charged with wire fraud and identity theft,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,99,101,100,100
147,34,5K,Guilty or Not Guilty - Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,4,4,3,5
148,34,5K,Guilty or Not Guilty - Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,42,46,42,38
149,34,5K,Guilty or Not Guilty - Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,11,14,8,13
150,34,5K,Guilty or Not Guilty - Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,43,36,47,44
151,34,5K,Guilty or Not Guilty - Criminal Trials — Sam Bankman-Fried being charged with fraud and money laundering,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,100,100
152,35,5L,Guilty or Not Guilty - Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,5,6,4,5
153,35,5L,Guilty or Not Guilty - Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,42,47,35,43
154,35,5L,Guilty or Not Guilty - Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,14,17,13,14
155,35,5L,Guilty or Not Guilty - Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,39,30,48,38
156,35,5L,Guilty or Not Guilty - Criminal Trials — Bob Menendez being charged with bribery and acting as a foreign agent,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,100,100
157,36,5M,Guilty or Not Guilty - Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,16,15,12,21
158,36,5M,Guilty or Not Guilty - Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,41,43,42,38
159,36,5M,Guilty or Not Guilty - Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,25,24,25,25
160,36,5M,Guilty or Not Guilty - Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,18,18,21,15
161,36,5M,Guilty or Not Guilty - Criminal Trials — Martha Stewart being charged with conspiracy and obstruction of justice,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Totals,100,100,100,99
162,37,5N,Guilty or Not Guilty - Criminal Trials — Elizabeth Holmes being charged with defrauding investors,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not guilty,4,4,3,5
163,37,5N,Guilty or Not Guilty - Criminal Trials — Elizabeth Holmes being charged with defrauding investors,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Guilty,39,52,34,31
164,37,5N,Guilty or Not Guilty - Criminal Trials — Elizabeth Holmes being charged with defrauding investors,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",Not sure,15,16,11,19
165,37,5N,Guilty or Not Guilty - Criminal Trials — Elizabeth Holmes being charged with defrauding investors,"Regardless of the verdict, do you think the following are guilty or not guilty of the crimes they were charged with?",the case,42,29,52,45
