,qnum,orig_label,question,prompt,response,total,dem,ind,rep
23,4,1D,Encourage or Discourage Careers for Hypothetical Son — Computer programmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,101,99,100,100
24,5,1E,Encourage or Discourage Careers for Hypothetical Son — Nurse,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,47,54,45,42
25,5,1E,Encourage or Discourage Careers for Hypothetical Son — Nurse,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,38,32,40,41
26,5,1E,Encourage or Discourage Careers for Hypothetical Son — Nurse,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,5,3,6,6
27,5,1E,Encourage or Discourage Careers for Hypothetical Son — Nurse,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,3,4,2,3
28,5,1E,Encourage or Discourage Careers for Hypothetical Son — Nurse,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,7,8,7,7
29,5,1E,Encourage or Discourage Careers for Hypothetical Son — Nurse,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,101,100,99
30,6,1F,Encourage or Discourage Careers for Hypothetical Son — Physics professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,42,47,43,35
31,6,1F,Encourage or Discourage Careers for Hypothetical Son — Physics professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,37,34,39,39
32,6,1F,Encourage or Discourage Careers for Hypothetical Son — Physics professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,6,5,6,8
33,6,1F,Encourage or Discourage Careers for Hypothetical Son — Physics professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,3,3,2,4
34,6,1F,Encourage or Discourage Careers for Hypothetical Son — Physics professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,11,11,9,14
35,6,1F,Encourage or Discourage Careers for Hypothetical Son — Physics professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,99,100,99,100
36,7,1G,Encourage or Discourage Careers for Hypothetical Son — Lawyer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,41,44,42,37
37,7,1G,Encourage or Discourage Careers for Hypothetical Son — Lawyer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,38,41,33,41
38,7,1G,Encourage or Discourage Careers for Hypothetical Son — Lawyer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,8,6,9,9
39,7,1G,Encourage or Discourage Careers for Hypothetical Son — Lawyer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,7,3,9,9
40,7,1G,Encourage or Discourage Careers for Hypothetical Son — Lawyer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,7,6,9,5
41,7,1G,Encourage or Discourage Careers for Hypothetical Son — Lawyer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,101,100,102,101
42,8,1H,Encourage or Discourage Careers for Hypothetical Son — Plumber,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,38,35,39,40
43,8,1H,Encourage or Discourage Careers for Hypothetical Son — Plumber,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,40,45,37,39
44,8,1H,Encourage or Discourage Careers for Hypothetical Son — Plumber,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,10,8,11,9
45,8,1H,Encourage or Discourage Careers for Hypothetical Son — Plumber,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,4,3,4,4
46,8,1H,Encourage or Discourage Careers for Hypothetical Son — Plumber,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,8,8,9,8
47,8,1H,Encourage or Discourage Careers for Hypothetical Son — Plumber,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,99,100,100
48,9,1I,Encourage or Discourage Careers for Hypothetical Son — Chef,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,36,43,34,32
49,9,1I,Encourage or Discourage Careers for Hypothetical Son — Chef,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,43,36,44,49
50,9,1I,Encourage or Discourage Careers for Hypothetical Son — Chef,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,10,11,10,10
51,9,1I,Encourage or Discourage Careers for Hypothetical Son — Chef,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,3,3,3,3
52,9,1I,Encourage or Discourage Careers for Hypothetical Son — Chef,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,7,8,9,5
53,9,1I,Encourage or Discourage Careers for Hypothetical Son — Chef,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,99,101,100,99
54,10,1J,Encourage or Discourage Careers for Hypothetical Son — Teacher,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,34,42,32,29
55,10,1J,Encourage or Discourage Careers for Hypothetical Son — Teacher,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,42,39,43,44
56,10,1J,Encourage or Discourage Careers for Hypothetical Son — Teacher,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,10,9,11,10
57,10,1J,Encourage or Discourage Careers for Hypothetical Son — Teacher,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,6,3,7,9
58,10,1J,Encourage or Discourage Careers for Hypothetical Son — Teacher,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,7,8,7,7
59,10,1J,Encourage or Discourage Careers for Hypothetical Son — Teacher,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,99,101,100,99
60,11,1K,Encourage or Discourage Careers for Hypothetical Son — Military service member,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,31,19,35,39
61,11,1K,Encourage or Discourage Careers for Hypothetical Son — Military service member,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,32,32,30,33
62,11,1K,Encourage or Discourage Careers for Hypothetical Son — Military service member,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,15,19,13,13
63,11,1K,Encourage or Discourage Careers for Hypothetical Son — Military service member,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,12,16,12,7
64,11,1K,Encourage or Discourage Careers for Hypothetical Son — Military service member,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,10,13,10,8
65,11,1K,Encourage or Discourage Careers for Hypothetical Son — Military service member,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,99,100,100
66,12,1L,Encourage or Discourage Careers for Hypothetical Son — Professional athlete,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,30,36,30,25
67,12,1L,Encourage or Discourage Careers for Hypothetical Son — Professional athlete,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,30,29,30,32
68,12,1L,Encourage or Discourage Careers for Hypothetical Son — Professional athlete,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,17,17,14,20
69,12,1L,Encourage or Discourage Careers for Hypothetical Son — Professional athlete,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,12,10,13,12
70,12,1L,Encourage or Discourage Careers for Hypothetical Son — Professional athlete,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,11,8,13,10
71,12,1L,Encourage or Discourage Careers for Hypothetical Son — Professional athlete,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,100,100,99
72,13,1M,Encourage or Discourage Careers for Hypothetical Son — Humanities professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,28,38,30,16
73,13,1M,Encourage or Discourage Careers for Hypothetical Son — Humanities professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,33,40,31,29
74,13,1M,Encourage or Discourage Careers for Hypothetical Son — Humanities professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,13,7,14,18
75,13,1M,Encourage or Discourage Careers for Hypothetical Son — Humanities professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,11,3,10,19
76,13,1M,Encourage or Discourage Careers for Hypothetical Son — Humanities professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,15,13,14,18
77,13,1M,Encourage or Discourage Careers for Hypothetical Son — Humanities professor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,101,99,100
78,14,1N,Encourage or Discourage Careers for Hypothetical Son — Farmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,28,25,30,29
79,14,1N,Encourage or Discourage Careers for Hypothetical Son — Farmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,40,40,36,45
80,14,1N,Encourage or Discourage Careers for Hypothetical Son — Farmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,15,16,14,14
81,14,1N,Encourage or Discourage Careers for Hypothetical Son — Farmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,7,8,9,5
82,14,1N,Encourage or Discourage Careers for Hypothetical Son — Farmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,10,12,11,7
83,14,1N,Encourage or Discourage Careers for Hypothetical Son — Farmer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,101,100,100
84,15,1O,Encourage or Discourage Careers for Hypothetical Son — Construction worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,28,26,29,28
85,15,1O,Encourage or Discourage Careers for Hypothetical Son — Construction worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,43,46,39,45
86,15,1O,Encourage or Discourage Careers for Hypothetical Son — Construction worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,14,14,17,11
87,15,1O,Encourage or Discourage Careers for Hypothetical Son — Construction worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,5,5,5,5
88,15,1O,Encourage or Discourage Careers for Hypothetical Son — Construction worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,10,10,11,11
89,15,1O,Encourage or Discourage Careers for Hypothetical Son — Construction worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,101,101,100
90,16,1P,Encourage or Discourage Careers for Hypothetical Son — Journalist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,27,37,27,18
91,16,1P,Encourage or Discourage Careers for Hypothetical Son — Journalist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,39,42,37,39
92,16,1P,Encourage or Discourage Careers for Hypothetical Son — Journalist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,13,9,11,18
93,16,1P,Encourage or Discourage Careers for Hypothetical Son — Journalist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,10,4,12,15
94,16,1P,Encourage or Discourage Careers for Hypothetical Son — Journalist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,11,9,13,11
95,16,1P,Encourage or Discourage Careers for Hypothetical Son — Journalist,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,101,100,101
96,17,1Q,Encourage or Discourage Careers for Hypothetical Son — Social worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,25,37,24,15
97,17,1Q,Encourage or Discourage Careers for Hypothetical Son — Social worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,39,41,41,35
98,17,1Q,Encourage or Discourage Careers for Hypothetical Son — Social worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,16,11,13,26
99,17,1Q,Encourage or Discourage Careers for Hypothetical Son — Social worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,10,3,11,15
100,17,1Q,Encourage or Discourage Careers for Hypothetical Son — Social worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,10,8,11,9
101,17,1Q,Encourage or Discourage Careers for Hypothetical Son — Social worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,100,100,100
102,18,1R,Encourage or Discourage Careers for Hypothetical Son — Religious leader,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,22,17,20,31
103,18,1R,Encourage or Discourage Careers for Hypothetical Son — Religious leader,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,24,20,22,29
104,18,1R,Encourage or Discourage Careers for Hypothetical Son — Religious leader,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,16,21,12,15
105,18,1R,Encourage or Discourage Careers for Hypothetical Son — Religious leader,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,23,27,28,13
106,18,1R,Encourage or Discourage Careers for Hypothetical Son — Religious leader,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,15,16,18,12
107,18,1R,Encourage or Discourage Careers for Hypothetical Son — Religious leader,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,101,100,100
108,19,1S,Encourage or Discourage Careers for Hypothetical Son — Police officer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,21,16,22,26
109,19,1S,Encourage or Discourage Careers for Hypothetical Son — Police officer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,33,27,32,40
110,19,1S,Encourage or Discourage Careers for Hypothetical Son — Police officer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,21,23,19,20
111,19,1S,Encourage or Discourage Careers for Hypothetical Son — Police officer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,17,22,20,9
112,19,1S,Encourage or Discourage Careers for Hypothetical Son — Police officer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,8,11,8,5
113,19,1S,Encourage or Discourage Careers for Hypothetical Son — Police officer,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,99,101,100
114,20,1T,Encourage or Discourage Careers for Hypothetical Son — Truck driver,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,21,20,22,20
115,20,1T,Encourage or Discourage Careers for Hypothetical Son — Truck driver,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,38,39,36,37
116,20,1T,Encourage or Discourage Careers for Hypothetical Son — Truck driver,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,22,21,19,24
117,20,1T,Encourage or Discourage Careers for Hypothetical Son — Truck driver,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,10,8,13,10
118,20,1T,Encourage or Discourage Careers for Hypothetical Son — Truck driver,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,10,11,9,9
119,20,1T,Encourage or Discourage Careers for Hypothetical Son — Truck driver,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,101,99,99,100
120,21,1U,Encourage or Discourage Careers for Hypothetical Son — Actor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,20,28,21,12
121,21,1U,Encourage or Discourage Careers for Hypothetical Son — Actor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,32,35,33,29
122,21,1U,Encourage or Discourage Careers for Hypothetical Son — Actor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,18,15,19,22
123,21,1U,Encourage or Discourage Careers for Hypothetical Son — Actor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,18,9,17,28
124,21,1U,Encourage or Discourage Careers for Hypothetical Son — Actor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,11,14,10,9
125,21,1U,Encourage or Discourage Careers for Hypothetical Son — Actor,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,99,101,100,100
126,22,1V,Encourage or Discourage Careers for Hypothetical Son — Oil rig worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,19,17,22,19
127,22,1V,Encourage or Discourage Careers for Hypothetical Son — Oil rig worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,29,24,26,37
128,22,1V,Encourage or Discourage Careers for Hypothetical Son — Oil rig worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,22,25,21,19
129,22,1V,Encourage or Discourage Careers for Hypothetical Son — Oil rig worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,15,19,16,9
130,22,1V,Encourage or Discourage Careers for Hypothetical Son — Oil rig worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,15,14,15,16
131,22,1V,Encourage or Discourage Careers for Hypothetical Son — Oil rig worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,99,100,100
132,23,1W,Encourage or Discourage Careers for Hypothetical Son — Factory worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,16,19,15,15
133,23,1W,Encourage or Discourage Careers for Hypothetical Son — Factory worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,39,38,37,43
134,23,1W,Encourage or Discourage Careers for Hypothetical Son — Factory worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,21,20,25,19
135,23,1W,Encourage or Discourage Careers for Hypothetical Son — Factory worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,10,8,11,13
136,23,1W,Encourage or Discourage Careers for Hypothetical Son — Factory worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,12,14,13,9
137,23,1W,Encourage or Discourage Careers for Hypothetical Son — Factory worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,98,99,101,99
138,24,1X,Encourage or Discourage Careers for Hypothetical Son — Stay-at-home parent,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,16,18,15,16
139,24,1X,Encourage or Discourage Careers for Hypothetical Son — Stay-at-home parent,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,26,26,26,26
140,24,1X,Encourage or Discourage Careers for Hypothetical Son — Stay-at-home parent,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat discourage,20,22,17,21
141,24,1X,Encourage or Discourage Careers for Hypothetical Son — Stay-at-home parent,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly discourage,19,14,22,20
142,24,1X,Encourage or Discourage Careers for Hypothetical Son — Stay-at-home parent,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Not sure,19,19,20,17
143,24,1X,Encourage or Discourage Careers for Hypothetical Son — Stay-at-home parent,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Totals,100,99,100,100
144,25,1Y,Encourage or Discourage Careers for Hypothetical Son — Day care worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Strongly encourage,15,17,15,14
145,25,1Y,Encourage or Discourage Careers for Hypothetical Son — Day care worker,"Imagine you are the parent of a teenage son who is starting to consider what he wants to be in the future. If your son asked for your advice, would you",Somewhat encourage,32,35,32,29
